[2025-02-13 14:16:58.001234] Port 842 is CLOSED
[2025-02-13 14:16:58.005245] Port 845 is CLOSED
[2025-02-13 14:16:58.016459] Port 935 is CLOSED
[2025-02-13 14:16:58.025966] Port 947 is CLOSED
[2025-02-13 14:16:58.027896] Port 939 is CLOSED
[2025-02-13 14:16:58.027896] Port 936 is CLOSED
[2025-02-13 14:16:58.031102] Port 907 is CLOSED
[2025-02-13 14:16:58.031915] Port 823 is CLOSED
[2025-02-13 14:16:58.033874] Port 911 is CLOSED
[2025-02-13 14:16:58.033874] Port 894 is CLOSED
[2025-02-13 14:16:58.035699] Port 906 is CLOSED
[2025-02-13 14:16:58.036582] Port 851 is CLOSED
[2025-02-13 14:16:58.039382] Port 922 is CLOSED
[2025-02-13 14:16:58.039964] Port 924 is CLOSED
[2025-02-13 14:16:58.040544] Port 925 is CLOSED
[2025-02-13 14:16:58.041099] Port 914 is CLOSED
[2025-02-13 14:16:58.045134] Port 946 is CLOSED
[2025-02-13 14:16:58.045913] Port 940 is CLOSED
[2025-02-13 14:16:58.048827] Port 902 is CLOSED
[2025-02-13 14:16:58.050987] Port 929 is CLOSED
[2025-02-13 14:16:58.052139] Port 923 is CLOSED
[[2025-02-13 14:16:58.052139] Port 892 is CLOSED
[2025-02-13 14:16:58.052139] Port 928 is CLOSED
[2025-02-13 14:16:58.052139] Port 948 is CLOSED
[2025-02-13 14:16:58.053572] Port 999 is CLOSED

[2025-02-13 14:16:58.055949] Port 1000 is CLOSED
[2025-02-13 14:16:58.055949] Port 989 is CLOSED
[2025-02-13 14:16:58.058646] Port 988 is CLOSED
[2025-02-13 14:16:58.060683] Port 961 is CLOSED

[2025-02-13 14:16:58.062211] Port 973 is CLOSED

[2025-02-13 14:16:58.062749] Port 1024 is CLOSED
[2025-02-13 14:16:58.065057] Port 998 is CLOSED
[2025-02-13 14:16:58.065617] Port 1022 is CLOSED
[2025-02-13 14:16:58.065617] Port 1020 is CLOSED
[2025-02-13 14:16:58.067155] Port 1010 is CLOSED
[2025-02-13 14:16:58.068042] Port 1029 is CLOSED
[2025-02-13 14:16:58.070127] Port 967 is CLOSED
[2025-02-13 14:16:58.070678] Port 956 is CLOSED
[[2025-02-13 14:16:58.071367] Port 979 is CLOSED
2025-02-13 14:16:58.071367] Port 1058 is CLOSED
[2025-02-13 14:16:58.073873] Port 1013 is CLOSED[2025-02-13 14:16:58.073873] Port 1048 is CLOSED
[2025-02-13 14:16:58.075710] Port 1036 is CLOSED
[2025-02-13 14:16:58.075710] Port 1040 is CLOSED
[2025-02-13 14:16:58.075710] Port 1081 is CLOSED
2025-02-13 14:16:58.078124] Port 957 is CLOSED

[2025-02-13 14:16:58.079273] Port 1011 is CLOSED[2025-02-13 14:16:58.080950] Port 1062 is CLOSED
[2025-02-13 14:16:58.082937] Port 1111 is CLOSED
[2025-02-13 14:16:58.082937] Port 1082 is CLOSED
[2025-02-13 14:16:58.084096] Port 1056 is CLOSED
[2025-02-13 14:16:58.085531] Port 959 is CLOSED

[2025-02-13 14:16:58.085531] Port 1052 is CLOSED
[2025-02-13 14:16:58.086661] Port 1057 is CLOSED
[2025-02-13 14:16:58.086661] Port 1016 is CLOSED
[2025-02-13 14:16:58.088169] Port 1103 is CLOSED
[2025-02-13 14:16:58.088169] Port 1100 is CLOSED
[2025-02-13 14:16:58.089472] Port 1188 is CLOSED
[2025-02-13 14:16:58.091067] Port 1113 is CLOSED
[2025-02-13 14:16:58.092861] Port 1145 is CLOSED
[2025-02-13 14:16:58.095596] Port 1117 is CLOSED
[2025-02-13 14:16:58.095596] Port 1051 is CLOSED
[2025-02-13 14:16:58.096519] Port 1085 is CLOSED
[2025-02-13 14:16:58.096519] Port 1071 is CLOSED
[2025-02-13 14:16:58.100619] Port 1083 is CLOSED
[2025-02-13 14:16:58.101153] Port 1163 is CLOSED
[2025-02-13 14:16:58.101153] Port 1262 is CLOSED
[2025-02-13 14:16:58.101835] Port 1147 is CLOSED
[2025-02-13 14:16:58.101835] Port 1253 is CLOSED
[2025-02-13 14:16:58.101835] Port 1196 is CLOSED
[2025-02-13 14:16:58.101835] Port 1273 is CLOSED
[2025-02-13 14:16:58.106002] Port 1093 is CLOSED
[2025-02-13 14:16:58.107200] Port 1214 is CLOSED
[2025-02-13 14:16:58.108577] Port 1210 is CLOSED
[2025-02-13 14:16:58.110539] Port 1218 is CLOSED
[2025-02-13 14:16:58.111638] Port 1205 is CLOSED
[2025-02-13 14:16:58.113555] Port 1269 is CLOSED
[2025-02-13 14:16:58.114937] Port 1255 is CLOSED
[2025-02-13 14:16:58.115841] Port 1179 is CLOSED
